Material Name,Category,Yield Strength (MPa),Density (g/cm³),Max Temp (°C),Elastic Modulus (GPa),Thermal Conductivity (W/m·K),Machinability (1-10),Cost per Kg (INR),Fatigue Strength (MPa),Hardness (Brinell),Corrosion Resistance (1-10),Weldability (1-10),Bio-compatible,UV Resistance (1-10),Food Grade,Standards,Embodied Carbon (kg CO2/kg)
Aluminum 6061,Metal,276,2.7,150,68.9,167.0,9,290.5,96.0,95,8,9,No,10,Yes,ASTM B209,8.5
Aluminum 7075,Metal,503,2.81,150,71.7,130.0,7,415.0,160.0,150,6,3,No,10,No,ASTM B209,9.0
Aluminum 2024,Metal,345,2.78,150,73.1,121.0,7,375.0,140.0,120,5,4,No,10,No,ASTM B209,8.8
Steel 1018,Metal,370,7.87,400,205.0,51.0,6,99.6,150.0,126,3,9,No,10,No,ASTM A29,1.8
Steel 4140,Metal,655,7.85,400,210.0,42.0,5,132.0,310.0,197,4,6,No,10,No,ASTM A29,2.2
Steel 4340,Metal,710,7.85,425,205.0,38.0,4,166.0,340.0,217,4,5,No,10,No,ASTM A29,2.3
Stainless Steel 304,Metal,215,8.0,870,193.0,16.2,4,265.0,130.0,123,9,8,Yes,10,Yes,ASTM A240,2.9
Stainless Steel 316,Metal,205,8.0,870,193.0,16.3,4,332.0,140.0,149,10,8,Yes,10,Yes,ASTM A240,3.0
Titanium Ti-6Al-4V,Metal,880,4.43,400,113.0,6.7,4,3735.0,510.0,334,10,6,Yes,10,No,ASTM B265,30.0
Inconel 718,Metal,1035,8.19,700,205.0,11.4,2,4980.0,600.0,331,10,5,No,10,No,ASTM B670,45.0
Copper C11000,Metal,220,8.89,200,117.0,390.0,7,664.0,75.0,45,7,3,No,10,No,ASTM B152,3.5
Brass C36000,Metal,310,8.5,260,97.0,115.0,10,580.0,96.0,115,7,2,No,10,No,ASTM B16,2.8
Bronze C93200,Metal,125,8.93,260,100.0,59.0,8,750.0,60.0,65,8,4,No,10,No,ASTM B505,3.2
Magnesium AZ31B,Metal,200,1.77,150,45.0,96.0,8,415.0,90.0,50,4,7,No,10,No,ASTM B90,24.0
Nickel 200,Metal,148,8.89,600,204.0,70.0,5,2490.0,100.0,110,10,8,No,10,Yes,ASTM B160,15.0
Tungsten,Metal,750,19.25,1650,411.0,173.0,1,4150.0,400.0,257,8,1,No,10,No,ASTM B760,20.0
Cast Iron (Grey),Metal,130,7.15,400,100.0,46.0,6,83.0,65.0,150,5,1,No,10,No,ASTM A48,1.5
Zinc Alloy (Zamak 3),Metal,228,6.6,100,85.0,113.0,9,290.5,50.0,82,6,1,No,10,No,ASTM B86,3.0
ABS Plastic,Polymer,40,1.04,80,2.3,0.17,10,207.5,15.0,10,4,8,No,4,No,ISO 1183,3.1
Nylon 6/6,Polymer,80,1.14,120,2.9,0.25,8,332.0,30.0,12,5,7,Yes,5,Yes,ISO 1183,6.5
Polycarbonate,Polymer,65,1.2,115,2.4,0.2,8,290.5,20.0,11,6,8,Yes,6,Yes,ISO 1183,6.2
PEEK,Polymer,100,1.3,250,3.6,0.25,6,7470.0,50.0,20,10,5,Yes,8,Yes,ISO 1183,14.0
PTFE (Teflon),Polymer,25,2.15,260,0.5,0.25,7,1245.0,10.0,5,10,1,Yes,10,Yes,ISO 1183,11.0
POM (Delrin),Polymer,70,1.41,110,3.1,0.31,9,332.0,25.0,15,6,7,Yes,4,Yes,ISO 1183,3.2
HDPE,Polymer,28,0.95,80,1.1,0.5,10,124.5,12.0,5,8,9,Yes,7,Yes,ISO 1183,1.8
PLA,Polymer,60,1.24,55,3.5,0.13,8,290.5,15.0,8,4,4,Yes,3,Yes,ISO 1183,1.3
PETG,Polymer,50,1.27,70,2.2,0.29,8,249.0,15.0,10,7,8,Yes,6,Yes,ISO 1183,2.5
Epoxy Resin,Polymer,75,1.2,150,3.0,0.2,5,498.0,25.0,15,8,1,No,5,No,ISO 1183,5.0
Silicone Rubber,Elastomer,5,1.15,200,0.01,0.2,2,830.0,2.0,2,10,1,Yes,10,Yes,ASTM D2240,4.5
Polyurethane Elastomer,Elastomer,20,1.25,90,0.05,0.25,4,415.0,8.0,4,7,1,No,7,No,ASTM D2240,4.0
EPDM Rubber,Elastomer,10,1.1,150,0.02,0.25,3,332.0,5.0,3,9,1,No,10,No,ASTM D2240,3.5
PU Foam,Foam,1,0.05,80,0.001,0.03,8,415.0,0.5,1,5,1,No,4,No,ASTM D3574,4.5
Carbon Fiber Composite,Composite,600,1.6,150,135.0,5.0,3,4980.0,450.0,50,9,1,No,8,No,ASTM D3039,22.0
Glass Fiber Composite,Composite,300,1.9,130,35.0,0.3,4,1660.0,150.0,40,9,1,No,8,No,ASTM D3039,8.0
Kevlar Composite,Composite,350,1.44,150,75.0,0.04,3,5810.0,200.0,35,8,1,No,9,No,ASTM D3039,15.0
Alumina (Al2O3),Ceramic,260,3.96,1750,370.0,30.0,2,830.0,150.0,1500,10,1,Yes,10,Yes,ASTM C1161,5.5
Silicon Carbide (SiC),Ceramic,400,3.1,1600,410.0,120.0,1,2490.0,200.0,2500,10,1,No,10,No,ASTM C1161,12.0
Zirconia (ZrO2),Ceramic,900,6.05,1500,200.0,2.0,2,3320.0,450.0,1200,10,1,Yes,10,Yes,ASTM C1161,10.0
Borosilicate Glass,Ceramic,70,2.23,500,63.0,1.14,3,415.0,30.0,500,10,3,Yes,10,Yes,ASTM C158,1.4
